zipcode,category,sale.dollars,sale.volume
50125,Vodka,354088,33467
50125,Whisky,533120,33415
50125,Rum,231150,16723
50125,Brandy,19777,1547
50125,Tequila,72157,5253
50125,Distilled Spirits,9511,434
50125,Gin,37263,3145
50125,Amaretto,4713,554
50125,Schnapps,52970,3566
50115,Brandy,1483,113
50115,Whisky,40376,3090
50115,Gin,1863,190
50115,Vodka,17148,1664
50115,Misc,4355,317
50115,Rum,10400,679
50115,Tequila,1592,126
50115,Amaretto,189,20
50115,Schnapps,3526,304
50115,Distilled Spirits,142,6
50441,Misc,42325,2417
50441,Whisky,185032,14134
50441,Brandy,14864,1282
50441,Rum,62540,4780
50441,Vodka,78085,8350
50441,Tequila,35062,1708
50441,Gin,7065,630
50441,Amaretto,1541,198
50441,Schnapps,24000,1939
50441,Distilled Spirits,2173,122
52003,Misc,145187,8622
52003,Whisky,475570,27439
52003,Vodka,354366,27950
52003,Brandy,34047,2146
52003,Rum,254638,17609
52003,Tequila,101516,5819
52003,Distilled Spirits,16425,2170
52003,Gin,38686,2893
52003,Amaretto,6575,753
52003,Schnapps,93824,6533
50597,Misc,7716,452
50597,Vodka,17268,1667
50597,Whisky,65462,6262
50597,Rum,19822,1481
50597,Schnapps,4927,372
50597,Tequila,2572,177
50597,Distilled Spirits,395,18
50597,Gin,950,91
50597,Brandy,5427,508
50597,Amaretto,259,34
52205,Vodka,148315,16417
52205,Misc,55608,3160
52205,Whisky,224886,16470
52205,Gin,7868,688
52205,Rum,106719,7642
52205,Brandy,10324,762
52205,Tequila,25349,1732
52205,Amaretto,1442,182
52205,Schnapps,37267,2982
52205,Distilled Spirits,2898,200
50606,Misc,852,48
50606,Whisky,16150,1430
50606,Distilled Spirits,91,3
50606,Gin,747,113
50606,Vodka,3671,482
50606,Rum,3338,304
50606,Brandy,1378,126
50606,Tequila,371,21
50606,Schnapps,2271,211
50606,Amaretto,9,1
50010,Misc,619504,36462
50010,Tequila,370111,23588
50010,Vodka,1649416,140290
50010,Whisky,2446231,138567
50010,Rum,1014614,76132
50010,Brandy,176572,9343
50010,Schnapps,208793,14812
50010,Distilled Spirits,68039,7284
50010,Gin,241578,17743
50010,Amaretto,28370,2587
50021,Misc,293936,17265
50021,Tequila,210297,15818
50021,Whisky,1108982,62969
50021,Brandy,60927,3706
50021,Rum,444664,31604
50021,Vodka,840631,71929
50021,Schnapps,80686,5565
50021,Distilled Spirits,20415,1583
50021,Gin,92151,6946
50021,Amaretto,15868,1317
50036,Misc,101395,5963
50036,Tequila,44677,2952
50036,Whisky,518468,35650
50036,Vodka,256142,25128
50036,Brandy,26379,2034
50036,Rum,172642,12360
50036,Distilled Spirits,7551,484
50036,Gin,28123,2326
50036,Amaretto,5104,430
50036,Schnapps,55927,4121
52601,Misc,200530,11289
52601,Tequila,127055,6555
52601,Whisky,821853,48027
52601,Rum,300999,21105
52601,Vodka,674324,56872
52601,Brandy,206516,8728
52601,Distilled Spirits,22726,1898
52601,Gin,69725,5627
52601,Amaretto,8614,861
52601,Schnapps,121629,9919
52405,Misc,151704,9534
52405,Vodka,502439,48614
52405,Whisky,594290,39732
52405,Rum,262456,19145
52405,Schnapps,93767,7282
52405,Tequila,88596,5277
52405,Distilled Spirits,5384,251
52405,Gin,43135,3732
52405,Brandy,111797,5943
52405,Amaretto,4530,408
52404,Misc,303399,17541
52404,Tequila,194734,12111
52404,Whisky,1099292,73300
52404,Rum,519969,39104
52404,Schnapps,125343,9393
52404,Distilled Spirits,18905,785
52404,Gin,77005,6060
52404,Vodka,963510,88896
52404,Brandy,288681,12057
52404,Amaretto,12303,1130
52403,Misc,75201,4937
52403,Whisky,359304,21158
52403,Rum,119966,8702
52403,Vodka,344368,29752
52403,Tequila,57909,3443
52403,Gin,57736,4410
52403,Brandy,89325,4068
52403,Amaretto,2824,274
52403,Distilled Spirits,2987,146
52403,Schnapps,23990,1902
52402,Whisky,2599135,151621
52402,Gin,257312,18869
52402,Vodka,2136245,183637
52402,Misc,835738,55884
52402,Rum,1038945,75577
52402,Brandy,483852,21002
52402,Tequila,565728,35214
52402,Schnapps,394200,27622
52402,Amaretto,32623,2902
52302,Misc,190676,12430
52302,Rum,294736,21436
52302,Vodka,587170,55849
52302,Whisky,713346,44739
52302,Gin,54846,4058
52302,Brandy,57301,3693
52302,Tequila,110636,8197
52302,Amaretto,7643,708
52302,Schnapps,78664,5700
52302,Distilled Spirits,11719,559
50401,Misc,353126,22703
50401,Whisky,1275480,88557
50401,Vodka,946719,90501
50401,Rum,501497,37735
50401,Schnapps,156740,11883
50401,Brandy,127233,8179
50401,Tequila,273156,18353
50401,Distilled Spirits,15671,788
50401,Gin,86816,6514
50401,Amaretto,16341,1640
50208,Misc,136062,8109
50208,Whisky,548472,36278
50208,Brandy,42500,2313
50208,Rum,206826,16142
50208,Tequila,87679,6113
50208,Distilled Spirits,18640,1252
50208,Gin,30571,2620
50208,Vodka,321317,31661
50208,Amaretto,8193,1029
50208,Schnapps,50078,4048
51566,Gin,15556,1325
51566,Misc,58004,3413
51566,Whisky,255712,16798
51566,Rum,65852,4793
51566,Vodka,109222,11057
51566,Tequila,27694,1674
51566,Schnapps,26272,2376
51566,Distilled Spirits,5795,293
51566,Brandy,12379,1074
51566,Amaretto,1411,136
50265,Misc,337946,19709
50265,Vodka,1203740,96988
50265,Whisky,1352714,70778
50265,Brandy,91008,4747
50265,Rum,434554,30681
50265,Schnapps,95694,6522
50265,Tequila,222664,14041
50265,Gin,143979,10078
50265,Distilled Spirits,16072,757
50265,Amaretto,10452,822
52544,Misc,67209,3744
52544,Amaretto,5024,484
52544,Whisky,287462,18187
52544,Vodka,149882,14820
52544,Rum,97166,7131
52544,Brandy,11114,873
52544,Schnapps,43034,3561
52544,Tequila,33634,2518
52544,Distilled Spirits,3923,183
52544,Gin,12083,1062
50315,Misc,188833,11955
50315,Whisky,815037,51806
50315,Vodka,711416,65058
50315,Rum,299473,21948
50315,Brandy,215347,9138
50315,Tequila,155389,8104
50315,Gin,55746,4755
50315,Distilled Spirits,14819,948
50315,Amaretto,6911,663
50315,Schnapps,59824,4224
50317,Misc,261715,15503
50317,Whisky,1265400,77969
50317,Brandy,189678,8873
50317,Rum,400216,28092
50317,Tequila,217583,11852
50317,Distilled Spirits,23621,1089
50317,Gin,72559,5997
50317,Vodka,887496,78306
50317,Amaretto,9631,846
50317,Schnapps,104697,7654
50322,Misc,264555,14657
50322,Tequila,156095,10296
50322,Whisky,1044846,53052
50322,Gin,85235,5969
50322,Vodka,816086,65354
50322,Rum,348365,23575
50322,Brandy,79508,3720
50322,Amaretto,9438,631
50322,Schnapps,53664,3622
50322,Distilled Spirits,11552,543
50501,Misc,311091,18612
50501,Whisky,1075279,72010
50501,Gin,77120,6247
50501,Vodka,765717,69201
50501,Rum,497065,35139
50501,Brandy,154123,8374
50501,Tequila,198734,12193
50501,Amaretto,15405,1559
50501,Schnapps,146531,10138
50501,Distilled Spirits,15290,796
50702,Vodka,898490,77193
50702,Misc,385259,23055
50702,Whisky,1274530,81772
50702,Tequila,277411,15559
50702,Brandy,237794,12130
50702,Amaretto,19816,1948
50702,Rum,522571,37144
50702,Schnapps,188889,12769
50702,Distilled Spirits,82856,10877
50702,Gin,126977,9758
50126,Misc,76471,4412
50126,Whisky,339825,21813
50126,Rum,121944,8518
50126,Brandy,14774,950
50126,Vodka,159634,15225
50126,Schnapps,37908,2750
50126,Tequila,45272,3047
50126,Distilled Spirits,7836,664
50126,Gin,18153,1321
50126,Amaretto,4323,439
52501,Misc,211174,11957
52501,Whisky,884936,53345
52501,Tequila,157846,9062
52501,Rum,347570,23903
52501,Brandy,66388,3810
52501,Vodka,466458,44531
52501,Schnapps,153587,11431
52501,Distilled Spirits,21288,1927
52501,Gin,48704,3898
52501,Amaretto,8441,802
50158,Vodka,573493,53077
50158,Misc,248326,15064
50158,Amaretto,9047,913
50158,Whisky,1034709,63752
50158,Brandy,136363,6713
50158,Rum,337545,24477
50158,Schnapps,104914,8199
50158,Tequila,190658,8956
50158,Distilled Spirits,20345,1933
50158,Gin,73943,5965
52245,Whisky,180584,9341
52245,Misc,39083,2213
52245,Brandy,14495,940
52245,Rum,41913,3020
52245,Vodka,118310,10539
52245,Schnapps,7970,600
52245,Tequila,25833,1519
52245,Distilled Spirits,1784,90
52245,Gin,28482,2073
52245,Amaretto,868,75
50009,Distilled Spirits,11623,501
50213,Misc,44648,2702
50213,Whisky,241498,15847
50213,Brandy,11937,835
