city,category,sale.dollars,sale.volume
Shenandoah,Tequila,57753,4093
Shenandoah,Amaretto,2214,252
Shenandoah,Distilled Spirits,3027,157
Dubuque,Misc,644590,38046
Dubuque,Whisky,2304543,140139
Dubuque,Rum,1128547,78960
Dubuque,Brandy,393974,18611
Dubuque,Tequila,380356,21497
Dubuque,Gin,204977,15545
Dubuque,Vodka,1843016,156052
Dubuque,Amaretto,35977,3462
Dubuque,Schnapps,361064,24923
Dubuque,Distilled Spirits,54747,6468
Oakland,Misc,7587,458
Oakland,Whisky,46955,3035
Oakland,Gin,1967,177
Oakland,Vodka,24855,2913
Oakland,Rum,13917,912
Oakland,Brandy,2935,234
Oakland,Tequila,3731,167
Oakland,Schnapps,3380,320
Oakland,Amaretto,680,98
Indianola,Misc,161232,9235
Indianola,Vodka,354088,33467
Indianola,Whisky,533120,33415
Indianola,Rum,231150,16723
Indianola,Brandy,19777,1547
Indianola,Tequila,72157,5253
Indianola,Distilled Spirits,9511,434
Indianola,Gin,37263,3145
Indianola,Amaretto,4713,554
Indianola,Schnapps,52970,3566
Guthrie Center,Brandy,1483,113
Guthrie Center,Whisky,40376,3090
Guthrie Center,Gin,1863,190
Guthrie Center,Vodka,17148,1664
Guthrie Center,Misc,4355,317
Guthrie Center,Rum,10400,679
Guthrie Center,Tequila,1592,126
Guthrie Center,Amaretto,189,20
Guthrie Center,Schnapps,3526,304
Guthrie Center,Distilled Spirits,142,6
Hampton,Misc,42325,2417
Hampton,Whisky,185032,14134
Hampton,Brandy,14864,1282
Hampton,Rum,62540,4780
Hampton,Vodka,78085,8350
Hampton,Tequila,35062,1708
Hampton,Gin,7065,630
Hampton,Amaretto,1541,198
Hampton,Schnapps,24000,1939
Hampton,Distilled Spirits,2173,122
West Bend,Misc,7716,452
West Bend,Vodka,17268,1667
West Bend,Whisky,65462,6262
West Bend,Rum,19822,1481
West Bend,Schnapps,4927,372
West Bend,Tequila,2572,177
West Bend,Distilled Spirits,395,18
West Bend,Gin,950,91
West Bend,Brandy,5427,508
West Bend,Amaretto,259,34
Anamosa,Vodka,148315,16417
Anamosa,Misc,55608,3160
Anamosa,Whisky,224886,16470
Anamosa,Gin,7868,688
Anamosa,Rum,106719,7642
Anamosa,Brandy,10324,762
Anamosa,Tequila,25349,1732
Anamosa,Amaretto,1442,182
Anamosa,Schnapps,37267,2982
Anamosa,Distilled Spirits,2898,200
Arlington,Misc,852,48
Arlington,Whisky,16150,1430
Arlington,Distilled Spirits,91,3
Arlington,Gin,747,113
Arlington,Vodka,3671,482
Arlington,Rum,3338,304
Arlington,Brandy,1378,126
Arlington,Tequila,371,21
Arlington,Schnapps,2271,211
Arlington,Amaretto,9,1
Ames,Misc,662596,38830
Ames,Tequila,391863,24764
Ames,Vodka,1770559,150737
Ames,Whisky,2610409,148417
Ames,Rum,1110981,84072
Ames,Brandy,187640,9762
Ames,Schnapps,238474,17199
Ames,Distilled Spirits,69284,7353
Ames,Gin,252404,18756
Ames,Amaretto,30841,2911
Ankeny,Misc,415087,24006
Ankeny,Tequila,289232,20880
Ankeny,Whisky,1644129,90385
Ankeny,Brandy,81119,4921
Ankeny,Rum,646077,45416
Ankeny,Vodka,1233817,102840
Ankeny,Schnapps,105542,7326
Ankeny,Distilled Spirits,28490,1951
Ankeny,Gin,129625,9488
Ankeny,Amaretto,21216,1716
Boone,Misc,101395,5963
Boone,Tequila,44677,2952
Boone,Whisky,518468,35650
Boone,Vodka,256142,25128
Boone,Brandy,26379,2034
Boone,Rum,172642,12360
Boone,Distilled Spirits,7551,484
Boone,Gin,28123,2326
Boone,Amaretto,5104,430
Boone,Schnapps,55927,4121
Burlington,Misc,200530,11289
Burlington,Tequila,127055,6555
Burlington,Whisky,821853,48027
Burlington,Rum,300999,21105
Burlington,Vodka,674324,56872
Burlington,Brandy,206516,8728
Burlington,Distilled Spirits,22726,1898
Burlington,Gin,69725,5627
Burlington,Amaretto,8614,861
Burlington,Schnapps,121629,9919
Cedar Rapids,Misc,1756332,110091
Cedar Rapids,Vodka,4694907,402119
Cedar Rapids,Whisky,5687415,331369
Cedar Rapids,Rum,2333356,169029
Cedar Rapids,Schnapps,850789,60372
Cedar Rapids,Tequila,1135094,66328
Cedar Rapids,Distilled Spirits,180690,19762
Cedar Rapids,Gin,538945,39044
Cedar Rapids,Brandy,1028139,45740
Cedar Rapids,Amaretto,65834,5760
Marion,Misc,190676,12430
Marion,Rum,294736,21436
Marion,Vodka,587170,55849
Marion,Whisky,713346,44739
Marion,Gin,54846,4058
Marion,Brandy,57301,3693
Marion,Tequila,110636,8197
Marion,Amaretto,7643,708
Marion,Schnapps,78664,5700
Marion,Distilled Spirits,11719,559
Mason City,Misc,353126,22703
Mason City,Whisky,1275480,88557
Mason City,Vodka,946719,90501
