county,category,sale.dollars,sale.volume
Guthrie,Whisky,197077,14063
Guthrie,Gin,9886,901
Guthrie,Vodka,107500,10216
Guthrie,Misc,32032,2010
Guthrie,Rum,56550,3986
Guthrie,Tequila,20739,1501
Guthrie,Amaretto,823,77
Guthrie,Schnapps,13402,1173
Guthrie,Distilled Spirits,3478,157
Franklin,Misc,43158,2453
Franklin,Whisky,198406,15103
Franklin,Brandy,16182,1397
Franklin,Rum,66916,5072
Franklin,Vodka,88030,9470
Franklin,Tequila,35667,1747
Franklin,Gin,7585,672
Franklin,Amaretto,1595,206
Franklin,Schnapps,25253,2069
Franklin,Distilled Spirits,2286,128
Palo Alto,Misc,54142,3006
Palo Alto,Vodka,117092,12162
Palo Alto,Whisky,346161,27823
Palo Alto,Rum,120740,8641
Palo Alto,Schnapps,37374,2996
Palo Alto,Tequila,22718,1342
Palo Alto,Distilled Spirits,3919,323
Palo Alto,Gin,11088,939
Palo Alto,Brandy,18435,1617
Palo Alto,Amaretto,2996,418
Jones,Vodka,235494,25652
Jones,Misc,97127,6125
Jones,Whisky,422302,32952
Jones,Gin,13987,1212
Jones,Rum,179294,12795
Jones,Brandy,22259,1882
Jones,Tequila,39266,2823
Jones,Amaretto,3222,401
Jones,Schnapps,67893,5641
Jones,Distilled Spirits,4413,270
Fayette,Distilled Spirits,3499,166
Story,Misc,701637,41109
Story,Tequila,423175,26727
Story,Vodka,1957133,170121
Story,Whisky,2954904,173036
Story,Rum,1232907,93260
Story,Brandy,204617,10873
Story,Schnapps,258827,18716
Story,Distilled Spirits,72822,7539
Story,Gin,264935,19869
Story,Amaretto,34069,3339
Boone,Misc,110392,6595
Boone,Tequila,52539,3498
Boone,Whisky,586592,40583
Boone,Vodka,291581,28754
Boone,Brandy,30032,2335
Boone,Rum,193903,13826
Boone,Distilled Spirits,8443,524
Boone,Gin,32274,2692
Boone,Amaretto,5443,482
Boone,Schnapps,61374,4607
Des Moines,Misc,271480,15114
Des Moines,Tequila,174684,9720
Des Moines,Whisky,1089954,64929
Des Moines,Rum,423190,29840
Des Moines,Vodka,904903,77026
Des Moines,Brandy,262735,11035
Des Moines,Distilled Spirits,27809,2128
Des Moines,Gin,85675,6991
Des Moines,Amaretto,11897,1144
Des Moines,Schnapps,159576,12630
Linn,Misc,2266978,148465
Linn,Vodka,5817847,503429
Linn,Whisky,7245814,425202
Linn,Rum,2980222,214655
Linn,Schnapps,1145099,81166
Linn,Tequila,1519643,87932
Linn,Distilled Spirits,353111,42013
Linn,Gin,655811,47472
Linn,Brandy,1144477,52820
Linn,Amaretto,82743,7326
Jasper,Misc,149406,8923
Jasper,Whisky,663642,44416
Jasper,Brandy,50335,2949
Jasper,Rum,253878,19340
Jasper,Tequila,97579,6677
Jasper,Distilled Spirits,22410,1417
Jasper,Gin,33405,2898
Jasper,Vodka,390391,39259
Jasper,Amaretto,8886,1139
Jasper,Schnapps,59396,4886
Montgomery,Gin,15922,1366
Montgomery,Misc,58760,3448
Montgomery,Whisky,261110,17185
Montgomery,Rum,68305,4989
Montgomery,Vodka,111596,11295
Montgomery,Tequila,28010,1693
Montgomery,Schnapps,26506,2391
Montgomery,Distilled Spirits,5795,293
Montgomery,Brandy,12463,1081
Montgomery,Amaretto,1459,144
Appanoose,Misc,70681,3909
Appanoose,Amaretto,5257,506
Appanoose,Whisky,314443,19653
Appanoose,Vodka,160579,15761
Appanoose,Rum,105160,7627
Appanoose,Brandy,11199,880
