county,category,sale.dollars,sale.volume
Clayton,Whisky,235163,16009
Clayton,Rum,107217,7236
Clayton,Distilled Spirits,1568,73
Clayton,Gin,9843,777
Clayton,Vodka,102703,11165
Clayton,Brandy,11290,1059
Clayton,Amaretto,2019,273
Clayton,Schnapps,49716,3857
Chickasaw,Distilled Spirits,1195,69
Lyon,Misc,44056,2592
Lyon,Vodka,97451,9217
Lyon,Whisky,284790,20055
Lyon,Rum,149521,9718
Lyon,Schnapps,47098,3221
Lyon,Tequila,18964,878
Lyon,Distilled Spirits,2368,115
Lyon,Gin,6308,456
Lyon,Brandy,18360,1544
Lyon,Amaretto,4526,463
Winneshiek,Distilled Spirits,3864,175
Monona,Vodka,94825,9839
Monona,Tequila,24847,1462
Monona,Whisky,206241,13328
Monona,Misc,38923,2548
Monona,Amaretto,3581,360
Monona,Rum,90078,6300
Monona,Brandy,11059,903
Monona,Schnapps,36669,2560
Monona,Distilled Spirits,3281,157
Monona,Gin,6230,594
Keokuk,Brandy,4132,387
Keokuk,Rum,19888,1603
Keokuk,Misc,10765,644
Keokuk,Whisky,56126,4381
Keokuk,Gin,2400,240
Keokuk,Vodka,25958,3276
Keokuk,Tequila,5027,439
Keokuk,Amaretto,616,83
Keokuk,Schnapps,13145,1181
Keokuk,Distilled Spirits,312,15
Tama,Vodka,131247,14014
Tama,Misc,51452,3110
Tama,Brandy,26378,2148
Tama,Whisky,243632,16779
Tama,Amaretto,1628,196
Tama,Tequila,32249,2131
Tama,Rum,86530,6228
Tama,Schnapps,37488,3474
Tama,Distilled Spirits,2046,114
Tama,Gin,10040,913
Adair,Misc,14372,918
Adair,Whisky,113112,7956
Adair,Tequila,11397,760
Adair,Distilled Spirits,1618,110
Adair,Gin,2051,160
Adair,Vodka,40851,4101
Adair,Rum,31541,2376
Adair,Brandy,7981,695
Adair,Amaretto,583,77
Adair,Schnapps,9266,908
Mills,Misc,33825,1999
Mills,Whisky,191537,13004
Mills,Gin,10007,864
Mills,Vodka,98196,9867
Mills,Rum,65762,4558
Mills,Brandy,5652,438
Mills,Tequila,17035,1135
Mills,Schnapps,16395,1392
Mills,Distilled Spirits,1860,80
Mills,Amaretto,881,105
Cedar,Misc,33772,2419
Cedar,Whisky,209160,15568
Cedar,Vodka,103532,10527
Cedar,Rum,66596,4828
Cedar,Brandy,9379,792
Cedar,Gin,13519,1400
Cedar,Tequila,15392,1011
Cedar,Amaretto,1739,192
Cedar,Schnapps,26425,2010
Cedar,Distilled Spirits,2242,142
Benton,Misc,51367,3242
Benton,Vodka,138430,14600
Benton,Whisky,288848,21693
Benton,Rum,103779,7354
Benton,Tequila,28704,2080
Benton,Distilled Spirits,4114,178
Benton,Gin,10103,933
Benton,Brandy,24499,2159
Benton,Amaretto,2658,221
Benton,Schnapps,43782,3419
Winnebago,Misc,50938,2971
Winnebago,Tequila,31700,1877
Winnebago,Vodka,146151,15020
Winnebago,Whisky,255964,19704
Winnebago,Brandy,17222,1412
Winnebago,Rum,137615,10145
Winnebago,Distilled Spirits,3310,144
Winnebago,Gin,8734,703
Winnebago,Amaretto,3298,311
Winnebago,Schnapps,33579,2477
Van Buren,Whisky,83594,5163
Van Buren,Gin,2939,152
Van Buren,Vodka,35484,3426
Van Buren,Misc,9750,547
Van Buren,Rum,27710,2023
Van Buren,Brandy,1880,162
Van Buren,Tequila,5630,332
Van Buren,Amaretto,390,51
Van Buren,Schnapps,15390,1110
Van Buren,Distilled Spirits,625,34
Osceola,Rum,29588,1916
Osceola,Whisky,110545,8338
Osceola,Gin,6435,661
Osceola,Vodka,34161,3852
Osceola,Misc,17315,1022
Osceola,Brandy,5382,460
Osceola,Tequila,9387,473
Osceola,Amaretto,828,116
Osceola,Schnapps,19220,1369
Osceola,Distilled Spirits,462,33
Hancock,Distilled Spirits,1086,49
Fremont,Rum,5883,317
Fremont,Whisky,11133,670
Fremont,Gin,164,10
Fremont,Vodka,4383,425
Fremont,Misc,1241,51
Fremont,Brandy,133,8
Fremont,Tequila,679,33
Fremont,Schnapps,652,35
Fremont,Distilled Spirits,761,36
Fremont,Amaretto,24,4
