zipcode,high.school,bachelor,unemployment,income,population,pop.white,pop.black,pop.indian,pop.asian,pop.hawai,pop.other,pop.multi
50830,88.7,12.8,3.4,28611,1749,1730,2,6,7,0,0,4
50833,94.7,20.1,4.1,30144,2259,2198,12,2,16,0,6,25
50835,94,32.1,0,26250,117,117,0,0,0,0,0,0
50836,88,7.6,2,24911,337,325,0,0,10,0,0,2
50837,95,22.4,0,37826,254,253,0,0,0,0,0,1
50839,97.3,27,14.3,,37,30,0,4,0,0,0,3
50840,84.4,14.3,2.9,26630,561,553,0,0,0,0,5,3
50841,90.8,15.6,3.7,31921,2659,2596,19,0,22,0,3,19
50842,95.7,15.7,0,28750,100,100,0,0,0,0,0,0
50843,93.7,20.7,0.6,31481,658,658,0,0,0,0,0,0
50845,91.6,13,2.3,30758,842,839,0,3,0,0,0,0
50846,92.5,10,6.1,30532,1054,1049,0,0,1,0,0,4
50847,88.9,0,6.8,23750,100,100,0,0,0,0,0,0
50848,92.7,4,0.9,35938,416,410,0,0,0,0,0,6
50849,92.4,17.3,2.1,31417,2556,2496,1,0,30,0,5,24
50851,86.8,10.9,3.9,30554,1987,1838,0,11,18,0,120,0
50853,95,12.7,5,31522,681,655,0,0,25,0,0,1
50854,90.8,20,6.3,26834,2427,2309,8,8,21,0,57,24
50857,94.2,20.8,7.3,32614,215,211,0,0,0,0,0,4
50858,95.8,16.5,1.1,30347,726,695,0,0,0,0,0,31
50859,96.7,13.9,1.9,27708,660,632,0,0,11,0,0,17
50860,81.9,30.2,6.8,19375,392,392,0,0,0,0,0,0
50861,96.4,17.6,4.4,27083,249,249,0,0,0,0,0,0
50862,99.1,19.6,2.2,31667,167,166,0,0,0,0,0,1
50863,99,17.6,5.4,29773,308,298,0,6,0,0,0,4
50864,90.5,17.7,4.3,25781,1950,1889,0,24,0,0,15,22
51001,88.2,16.4,3.3,29519,2397,2377,0,12,0,0,0,8
51002,90.9,23.3,2.4,30258,2877,2680,17,0,26,1,108,45
51003,92.6,27.3,0.5,30345,1746,1632,9,0,6,0,79,20
51004,92,14.3,3.4,29063,1114,1087,0,2,9,0,0,16
51005,93.3,16.8,4.2,36094,1365,1320,19,0,14,0,0,12
51006,93.5,11.2,2.1,28533,1012,975,0,0,13,0,0,24
51007,93.8,13,2.3,30769,599,547,15,13,24,0,0,0
51008,98.9,24.2,0,40938,105,103,0,2,0,0,0,0
51009,96,9.7,2.1,26354,187,172,2,0,6,0,0,7
51010,85.9,14.8,2.6,21364,365,335,0,0,8,0,0,22
51011,83.9,4.8,0,31786,82,81,0,1,0,0,0,0
51012,88.7,17.7,3.5,27833,6335,6146,64,51,29,0,15,30
51014,94.7,22.9,0,35057,490,488,0,0,0,0,0,2
51016,88,18.8,3.8,29125,1290,1279,0,0,2,0,0,9
51018,95.8,14,7,26250,424,422,0,0,2,0,0,0
51019,89.7,16.4,3.1,27471,868,854,0,11,0,0,3,0
51020,90,9.8,3.2,32308,682,639,5,10,0,0,12,16
51022,96.3,10.9,4.1,35045,794,765,8,0,0,0,4,17
51023,84,19.5,6.2,28759,3157,2749,3,0,0,0,377,28
51024,95.8,20.6,3,36859,1907,1859,26,0,2,0,15,5
51025,96.5,24,4.7,29659,2008,1942,0,39,9,0,8,10
51026,89.5,8.7,5.7,32000,825,806,0,0,0,0,0,19
51027,93.8,19.3,1,29833,1144,1080,2,4,2,0,0,56
51028,96.1,20.8,3.3,36639,2069,2033,9,0,11,0,0,16
51029,94.2,17.3,6,25625,356,328,0,0,0,0,0,28
51030,94.6,31.7,1.1,37000,1537,1515,5,0,0,0,10,7
51031,90.9,19.5,3.6,36519,12130,11246,87,44,79,42,434,198
51033,96.6,20.8,0,30938,326,306,0,0,20,0,0,0
51034,87.5,19.3,4.2,27692,1852,1852,0,0,0,0,0,0
51035,91.3,24.4,2.1,33421,1381,1335,0,5,0,0,0,41
51036,95.2,23,1.3,33750,755,736,2,2,0,0,8,7
51037,92.1,28.1,0,35313,520,518,0,0,0,0,0,2
51038,94.1,18,3.2,30237,1577,1502,0,0,3,16,42,14
51039,96.3,27.8,1.6,37240,2528,2505,8,5,0,0,0,10
51040,91,15.9,5.1,25570,3531,3339,46,110,0,0,0,36
51041,95,36.7,1.5,22228,7593,6998,59,8,138,0,328,62
51044,84.4,12.6,7.2,30556,203,195,0,0,0,0,0,8
51046,93.6,17.7,7,32243,1690,1671,0,6,0,2,10,1
51047,93.6,19.6,1.1,27120,645,636,4,0,3,0,0,2
51048,93.3,19.9,3.9,30673,634,602,0,13,0,0,0,19
51049,84.1,11,4.6,28092,505,505,0,0,0,0,0,0
51050,94.9,16.1,2.4,30904,2604,2576,0,0,0,0,0,28
51051,72.3,1.5,0,,119,114,0,0,0,0,1,4
51052,91.1,12.7,0.8,28875,837,836,0,0,1,0,0,0
51053,89,22.5,2.8,28705,1094,1039,0,0,0,4,40,11
51054,95.1,37.3,3.7,31297,5428,4941,2,76,136,0,7,266
51055,96.3,23.8,2.6,31811,1578,1490,0,77,0,0,0,11
51056,94.9,14.3,2.6,30905,411,410,0,0,1,0,0,0
51058,94.7,15.9,1.6,31912,903,884,4,0,10,3,0,2
51060,83.8,9.8,7.9,32054,575,573,0,0,0,0,0,2
51061,95.9,20.7,3.7,31667,726,717,0,0,6,0,0,3
51062,94.2,17.9,15.6,23974,552,536,0,0,0,0,14,2
51063,93.6,22.3,2.6,30510,1220,1213,4,0,0,0,0,3
51101,77.9,3.4,27.2,16563,826,605,45,46,8,0,50,72
51103,75.1,8.9,9.2,25495,17688,13195,962,698,800,91,1249,693
51104,90.2,33.7,3.8,27821,22223,19520,764,204,636,14,386,699
51105,67.8,7.6,6.3,22525,10333,7002,818,262,625,11,1216,399
51106,91.9,26.1,4.7,28798,26012,24242,491,85,367,17,262,548
51108,83.5,19.9,1.6,31556,5931,5259,20,45,195,0,193,219
51109,79.7,9.9,2.1,26690,3107,2960,19,33,15,0,14,66
51111,88.8,14.3,0,56289,168,110,0,0,58,0,0,0
51201,93.3,28.8,2.3,28718,6020,5602,21,7,77,0,222,91
51230,96.5,5.3,1.4,26071,468,445,0,1,2,2,8,10
51231,94.3,8.6,1.1,35313,398,362,1,17,0,0,1,17
51232,88.3,18.2,0.8,25583,663,632,5,7,0,6,0,13
51234,90.6,17.1,1.8,26688,1171,1144,0,0,2,0,18,7
51235,88.3,12.3,3.8,33798,1235,1201,0,21,3,0,7,3
51237,87.3,17.6,2.1,31404,1563,1523,0,0,3,0,28,9
51238,93.9,15.6,1.7,33629,1132,1111,0,0,3,0,0,18
51239,85.2,17,1.9,31085,3244,3006,3,13,4,4,153,61
51240,89.9,24.9,0.4,29561,2180,2007,0,25,2,6,109,31
51241,89.3,27.2,2.9,35956,1658,1588,0,15,2,0,50,3
51242,96.6,13.4,0,37750,224,214,2,0,0,0,0,8
51243,92.6,14.2,2.4,32432,973,915,0,0,15,0,8,35
51244,95.9,0,0,30000,67,67,0,0,0,0,0,0
51245,88.7,18.4,1.8,31528,1239,1124,10,0,7,0,93,5
51246,91.9,25.6,1.4,31431,3385,3361,4,8,2,0,1,9
51247,89.4,19.7,2.5,26852,5223,5112,23,17,32,0,23,16
51248,89.7,15.5,2.7,30975,1782,1721,10,0,0,0,33,18
51249,86.6,19.1,2.3,26910,3297,3123,6,0,21,0,111,36
51250,87.7,35.8,0.4,25588,8391,7658,45,29,59,0,530,70
51301,93.2,21,3.5,30168,12778,12146,73,4,7,0,192,356
51331,96.7,22.3,9.8,24632,1023,966,17,4,0,0,8,28
51333,93.1,12.7,1.8,26354,497,497,0,0,0,0,0,0
51334,89.3,19.3,5.5,26490,7197,6911,120,13,30,11,44,68
51338,92.8,19.7,3.4,32401,974,971,0,0,0,0,1,2
51341,74.2,0,10,,35,33,0,0,0,0,0,2
51342,91.4,23.8,1.6,31729,1200,1184,12,0,0,0,4,0
51343,94.3,32.2,0.8,24399,333,333,0,0,0,0,0,0
51345,86.8,4,3,29286,419,362,1,0,4,0,44,8
51346,89.9,13.5,1.8,31224,2352,2237,12,13,21,0,24,45
51347,95.3,22.3,5.2,31536,1443,1428,0,0,2,0,1,12
51350,88.8,13.2,4.4,36532,621,610,7,4,0,0,0,0
51351,93.3,23,2.4,30515,4581,4478,17,15,0,0,36,35
51354,88.3,11.4,3.2,21520,1028,1018,6,0,0,0,0,4
51355,99.2,48.6,5.5,27333,843,804,0,0,23,0,0,16
51357,94.9,14.8,5.5,31563,589,570,0,1,0,7,0,11
51358,91.8,23.6,1.7,29044,1103,1073,0,0,7,6,0,17
51360,96.7,33.2,2.5,33635,8346,8152,26,18,25,16,12,97
51363,87.6,3.1,4.2,27361,168,165,0,1,0,0,0,2
51364,92.3,17.8,3.9,26188,653,640,2,4,1,0,0,6
51365,94.7,17.7,1.9,27667,382,316,21,33,0,0,11,1
51366,91.8,27.5,1.7,25417,343,324,0,3,0,0,16,0
51401,92.4,23.5,1.5,31936,11900,11404,269,0,0,0,70,157
51430,95.3,16.1,2.7,30777,849,830,3,0,0,0,0,16
51431,96.3,20.4,0,30195,441,434,0,0,0,0,0,7
51433,90.3,12.3,4.5,22763,520,520,0,0,0,0,0,0
51436,95.9,17.2,0,30116,790,790,0,0,0,0,0,0
51439,88.4,13.5,2.3,29554,1095,1088,0,0,1,3,0,3
51440,92.1,13.2,0.5,36705,372,372,0,0,0,0,0,0
51441,78.2,9.1,9.8,28750,448,384,39,0,0,0,14,11
51442,69,10.7,6.8,28239,9908,8951,244,192,31,4,276,210
51443,95.4,20.2,4.4,30185,1905,1883,17,5,0,0,0,0
51444,93.6,18.6,0,30167,243,243,0,0,0,0,0,0
51445,91.2,19.2,3.5,29904,2786,2770,1,7,0,0,1,7
51446,97.2,18.4,3.3,20313,513,508,0,1,0,0,0,4
51447,95.5,11.7,7.5,28750,187,185,0,0,2,0,0,0
51448,94,13.8,0.4,26087,484,484,0,0,0,0,0,0
51449,88.4,22.4,3.8,25239,2126,2066,27,0,12,0,0,21
51450,91,19.7,4.5,31217,1393,1371,18,0,0,0,4,0
51451,87.4,10.3,1.4,28382,133,133,0,0,0,0,0,0
51453,92.6,22.5,3.2,30662,751,743,0,3,1,0,1,3
51454,93.8,14.2,5.4,32216,1616,1499,0,0,0,0,107,10
51455,93,21.8,6.1,27875,2217,2183,2,0,16,0,0,16
51458,92.6,25.4,2.3,31047,1476,1465,0,0,0,0,0,11
51459,89.4,2.1,3.2,33438,72,71,0,0,0,0,0,1
51461,92.4,14.9,5.9,31316,1026,950,1,10,16,0,4,45
51462,93.6,13.6,8.5,26513,1005,976,0,0,5,0,0,24
51463,91.6,17.2,7.9,28631,657,656,1,0,0,0,0,0
51465,86.1,7.2,4.5,31850,766,727,2,0,2,0,32,3
51466,91.9,17,3.8,32356,1096,1096,0,0,0,0,0,0
51467,96.7,22.5,1.9,35705,661,654,0,0,0,0,0,7
51501,84.1,11.4,5.8,28355,34774,31530,758,178,357,5,1040,906
51503,93.3,27.1,4.9,33612,37603,36089,491,76,239,0,153,555
51510,90.2,17.4,8.7,31875,3765,3548,102,26,0,0,14,75
51520,72,5.6,2.8,28750,183,183,0,0,0,0,0,0
51521,91.3,27.2,2.7,33958,1882,1851,0,0,0,0,0,31
51523,92,22.9,4.7,25625,375,368,0,0,0,0,0,7
51525,92.9,20.7,4.7,33155,1209,1172,0,0,4,0,0,33
51526,93.5,17.2,3.8,37981,1406,1395,0,0,0,0,0,11
51527,92,7.7,10.4,23036,454,443,0,0,0,0,10,1
51528,87.5,7.6,4,20688,750,719,0,0,0,22,7,2
51529,88.4,15.4,0.2,30101,1833,1795,0,12,10,0,0,16
51530,93.6,19.8,1.7,28092,837,825,0,9,0,0,0,3
51531,92.3,19.5,5,36078,710,710,0,0,0,0,0,0
51532,87.6,13.3,5.4,28447,779,773,0,0,0,0,0,6
51533,91.6,16,6.2,29022,909,871,23,1,9,0,0,5
51534,93.6,27.7,3.3,35713,9430,9193,68,71,0,0,0,98
51535,90.5,21.4,6.3,26184,1910,1864,0,0,16,0,0,30
51536,96.6,19.2,3,25917,399,375,0,19,0,0,0,5
51537,89.3,24.6,3.2,27222,6658,6240,47,6,31,0,201,133
51540,94.5,30.2,11,31307,444,403,0,41,0,0,0,0
51541,94.8,13.7,3,39792,285,285,0,0,0,0,0,0
51542,96,29.7,3.8,35102,1109,1073,0,0,0,0,0,36
51543,89.8,12.3,1.2,32500,543,529,0,4,0,0,0,10
51544,87.5,11,5.6,32750,827,786,0,4,13,0,0,24
51545,76.8,10.1,4.6,,301,296,0,0,0,0,3,2
51546,92.7,23.1,1.3,37434,2774,2693,7,7,0,7,0,60
51548,92.5,26.8,0,43235,365,362,0,0,0,0,0,3
51549,94.5,14.4,3.8,36591,401,396,0,0,0,0,5,0
51550,87,8.1,3.7,25000,151,151,0,0,0,0,0,0
51551,94.1,19.8,3,40050,1642,1633,1,4,0,0,4,0
51552,95.3,27.5,0,30714,245,241,0,0,0,0,0,4
51553,96.2,23.3,1.6,42036,1074,1069,0,5,0,0,0,0
51554,100,16.8,18.4,42852,130,130,0,0,0,0,0,0
51555,91.4,16.8,3.1,33750,5113,4958,0,21,24,0,0,110
51556,87.1,13.6,0.5,29318,430,421,0,4,5,0,0,0
51557,83,13.7,5.6,35417,803,796,0,0,0,0,6,1
51558,96.7,8.5,0.4,31000,430,425,0,0,2,0,0,3
51559,96.6,20.8,2.3,34938,1642,1627,0,0,0,0,0,15
51560,93.7,27.8,2.4,36014,2307,2239,1,0,2,0,21,44
51561,87.4,12.6,1.9,35474,1288,1241,19,4,9,0,0,15
51562,94.8,8.2,0.8,36726,435,433,0,0,0,0,0,2
51563,97.4,15.7,8.1,29861,632,632,0,0,0,0,0,0
51564,89.5,5.6,4.7,32171,399,369,0,7,5,0,18,0
51565,90.5,12.7,1,26818,514,510,2,0,0,0,0,2
51566,88.8,14.3,10.3,26834,6497,6101,0,0,0,0,152,244
51570,90,16.2,2.3,27981,998,992,0,0,4,0,0,2
51571,92.1,28.2,3.7,42679,611,605,0,0,1,0,5,0
51572,97,11,5.5,28750,437,420,0,0,0,0,11,6
51573,92.5,22.2,4.4,32917,1175,1171,0,0,0,0,0,4
51575,98.5,37.2,0.8,42417,1670,1660,0,0,0,0,5,5
51576,95.1,34.6,0.6,48125,1984,1968,0,0,0,0,0,16
51577,93.4,15.7,3.4,31646,1210,1176,0,0,21,0,2,11
51578,96.9,7.8,27.8,30833,101,101,0,0,0,0,0,0
51579,92.4,21.2,3.4,32388,2395,2348,0,15,0,0,8,24
51601,85.8,22.1,2.3,29452,5938,5602,73,17,141,0,10,95
51630,96.6,26.7,5.4,28750,200,192,0,0,0,0,0,8
51631,94.1,13.7,7.4,30000,266,256,0,10,0,0,0,0
51632,89.9,23.4,4.9,28054,7168,6679,306,19,39,0,34,91
51636,85.6,8.4,0,35104,437,437,0,0,0,0,0,0
51637,91,21.3,3.6,11094,194,190,0,0,0,0,0,4
51638,91.9,17.1,8.5,30427,1301,1264,0,9,0,0,0,28
51639,94.2,21.3,6.2,33409,719,688,0,0,0,0,0,31
51640,92.4,22.7,3.1,27898,1552,1522,0,5,0,0,0,25
51645,96.4,18.9,3,38750,296,296,0,0,0,0,0,0
51646,93.7,13,0.8,36164,656,644,0,3,0,0,0,9
51647,95.9,10.8,31.7,35179,92,92,0,0,0,0,0,0
51648,100,13.4,0,37667,210,210,0,0,0,0,0,0
51649,94.1,24.5,4.4,36875,277,256,18,0,0,0,0,3
51650,93.1,12.1,1.6,36042,355,355,0,0,0,0,0,0
51652,89.2,17.5,4.6,32188,1573,1427,12,39,0,0,83,12
51653,90.2,26,1.8,34805,1585,1556,11,6,3,0,0,9
51654,88.2,18.8,9.1,34167,470,470,0,0,0,0,0,0
51656,95.3,27.9,24.1,28929,59,59,0,0,0,0,0,0
52001,89.5,25.7,5.5,23912,43821,39220,2210,36,535,325,252,1243
52002,94.7,40.4,2.3,36619,15877,14781,200,6,610,13,23,244
52003,96.7,37.3,4.1,32560,13450,13135,52,5,56,0,0,202
52030,87.6,11,3.9,26579,519,502,12,0,0,0,0,5
52031,89.3,20.6,2.1,34806,5368,5297,20,0,3,0,16,32
52032,91.3,25.2,2.5,31360,1430,1429,0,0,0,0,0,1
52033,91.8,19.3,2.6,34167,2961,2949,12,0,0,0,0,0
52035,86.7,8.7,4.6,31996,1190,1182,2,0,0,0,0,6
52037,94.3,19.6,3.3,32304,1118,1081,0,17,0,0,6,14
52038,97.7,19.9,0.8,35326,586,586,0,0,0,0,0,0
52039,97.9,20.6,1.4,31392,1115,1104,2,0,9,0,0,0
52040,91,22.3,1.6,31644,5749,5734,3,0,0,0,0,12
52041,91.5,6.6,1,31181,1683,1639,3,0,19,0,10,12
52042,90.4,14,5.1,31667,1515,1437,2,0,20,0,1,55
52043,92.7,18.2,4.3,32731,2209,2185,14,0,4,0,0,6
52044,85.1,40.5,6.3,26250,136,136,0,0,0,0,0,0
52045,96.2,24.9,2.7,33910,2599,2550,0,0,0,0,0,49
52046,95.1,15.5,3.7,34080,2149,2141,0,0,0,0,5,3
52047,94.4,9.5,3.4,30000,603,602,1,0,0,0,0,0
52048,92.6,4.8,9.2,27800,415,410,0,0,4,0,0,1
52049,90.4,14.2,2.1,27219,1492,1479,2,1,0,0,0,10
52050,89.3,10,0,35200,712,665,0,0,31,0,0,16
52052,91.7,14.5,4.2,26695,3099,2996,6,3,23,0,0,71
52053,93.1,12.3,1.2,35550,1033,1027,0,0,0,0,0,6
52054,92.1,16.6,3.1,30764,821,813,0,3,0,0,0,5
52057,90.7,19.1,2.4,31923,7555,7445,24,5,9,0,0,72
52060,92.4,16,7.1,27868,8459,7982,37,7,59,120,25,229
52064,94.6,19.7,5.3,34375,947,941,0,3,0,0,0,3
52065,90.1,11.1,3.4,31042,1097,1081,0,0,1,0,0,15
52066,77.8,11.1,17.9,26875,70,70,0,0,0,0,0,0
52068,94.6,32.6,2.6,36960,4403,4215,95,1,14,0,0,78
52069,90.6,13.5,2,30578,1637,1610,0,2,14,0,0,11
52070,91.9,15.1,7.5,31635,890,889,1,0,0,0,0,0
52072,90.3,12.4,6,32375,221,219,0,0,2,0,0,0
52073,96.3,17.4,1,26313,1285,1254,0,0,5,0,2,24
52074,89.6,8,2.8,29792,395,395,0,0,0,0,0,0
52076,93.7,16.1,4,31895,2331,2327,2,0,0,0,0,2
52077,87.2,24.5,4.8,32109,424,424,0,0,0,0,0,0
52078,92.4,16.7,2.9,31625,856,854,0,0,0,0,0,2
52079,92.3,11.8,0,31681,865,858,0,0,0,0,0,7
52101,95.4,34,2.2,24497,13745,13132,159,40,238,0,66,110
52132,94.5,18.3,7.3,29907,1774,1754,19,0,0,0,1,0
52133,95.1,20.6,0.6,36563,604,597,0,0,7,0,0,0
52134,91.1,9.3,8.4,25625,368,348,10,0,10,0,0,0
52135,94.1,17.8,7.1,30766,731,731,0,0,0,0,0,0
52136,91.9,15.3,2.9,29531,5931,5822,18,0,0,0,2,89
52140,85.6,13.4,3.5,32321,558,558,0,0,0,0,0,0
52141,89.3,22.8,4.4,28798,1582,1550,6,0,5,0,0,21
52142,87.8,27,6.7,8244,1746,1470,125,0,79,0,28,44
52144,94.2,17.5,1.7,32530,1508,1501,0,0,0,0,0,7
52146,89.3,16.9,4.9,24727,975,944,23,0,0,0,0,8
52147,92.4,14.6,6.6,30301,1154,1130,0,0,0,0,0,24
52151,96.5,18.8,5.1,29913,1796,1757,2,3,15,0,0,19
52154,83.7,11.1,5.1,31938,796,796,0,0,0,0,0,0
52155,87.5,11.7,1.4,27984,1205,1183,0,0,11,0,11,0
52156,87.8,15,1.4,30551,686,670,0,15,0,0,0,1
52157,88.7,13.9,2.9,26250,1656,1605,2,21,9,0,0,19
52158,87.6,8.4,9.4,20000,257,252,0,0,0,0,0,5
52159,92.6,20.7,1.9,32383,2288,2263,0,0,16,0,0,9
52160,94.4,15.5,5,26455,1207,1158,0,0,13,0,0,36
52161,90.8,15.8,1.8,30504,1536,1523,0,0,0,0,5,8
52162,77.1,11.7,4.5,28139,3375,3044,172,27,17,2,41,72
52163,87.6,12.4,7.6,25000,244,238,3,0,3,0,0,0
52164,89,28.5,2.9,22422,252,250,0,0,0,0,2,0
52165,96.5,12.9,1.5,27361,753,742,0,0,6,0,0,5
52166,83.3,18.8,17.5,25313,125,125,0,0,0,0,0,0
52168,69.9,15.6,4.6,22132,255,254,0,1,0,0,0,0
52169,92.8,21.6,6.8,24375,382,375,0,0,2,0,0,5
52170,93.8,20.4,0.9,36198,533,530,0,0,0,0,3,0
52171,90.8,21.2,2.1,32434,984,952,4,0,0,0,3,25
52172,87.2,18.5,5.3,26298,5774,5634,0,2,22,0,20,96
52175,91,24.6,4.4,26970,3582,3373,116,20,37,0,0,36
52201,93.7,16.7,2.9,31738,1306,1272,7,0,0,0,8,19
52202,96.2,19.7,4.5,35147,1011,996,0,0,0,0,0,15
52203,95.2,30.6,2.4,37269,1733,1713,20,0,0,0,0,0
52205,91.8,15.6,6.8,29548,8685,7907,402,124,79,0,38,135
52206,94.6,28.4,1.6,46821,2298,2190,60,0,26,0,0,22
52207,96.8,18.4,2.4,32216,449,448,0,0,0,0,0,1
52208,89,17.4,4.2,30015,3098,3052,0,0,7,0,0,39
52209,89.6,17.5,7.2,30791,1271,1214,0,0,3,0,12,42
52210,86.3,16.4,0.6,29545,656,656,0,0,0,0,0,0
52211,93.2,18.4,4.4,31851,2382,2364,0,0,0,0,0,18
52212,77.4,10.9,4.9,25556,180,180,0,0,0,0,0,0
52213,95.7,24.1,2.4,36120,4019,3940,21,0,4,0,5,49
52214,94.8,20.8,3.2,37744,3642,3584,26,0,29,0,3,0
52215,85.7,7,4,31762,650,590,0,8,0,0,46,6
52216,89.7,21.3,4.5,40114,1536,1528,4,0,0,0,4,0
52217,92,6.9,4.3,33750,523,498,0,0,0,0,1,24
52218,87.8,17.5,12.4,31600,1855,1855,0,0,0,0,0,0
52219,82.3,0,12.9,25625,184,184,0,0,0,0,0,0
52220,95.6,14.5,0,38375,375,375,0,0,0,0,0,0
52221,98.1,18.6,1.8,20341,218,218,0,0,0,0,0,0
52222,94,5.4,3.5,30600,591,571,0,0,0,0,10,10
52223,93.1,12.1,7.4,27955,1503,1501,0,0,0,0,2,0
52224,95,20.8,5.6,32692,1852,1815,0,7,16,0,0,14
52225,86.4,4.2,2.1,28000,318,318,0,0,0,0,0,0
52227,96.3,29.9,2.8,45085,3025,2931,5,0,18,0,7,64
52228,97.2,34.4,2.8,49180,3292,3260,0,0,9,0,0,23
52229,87.2,12.2,2.4,34375,801,783,0,0,0,0,0,18
52231,98.3,23.6,0.8,32031,232,232,0,0,0,0,0,0
52232,87.8,8.4,0,36250,179,174,0,0,0,0,0,5
52233,94.2,28.1,4.5,31497,7038,5783,801,0,155,15,0,284
52235,97.5,22.9,2.9,36000,730,615,42,10,0,0,0,63
52236,90.1,22.5,0,40625,771,744,0,0,20,7,0,0
52237,92.6,12.3,4.9,32857,1482,1467,3,0,0,0,0,12
52240,91.3,45.5,4.5,20192,33477,26623,2877,103,1463,53,1462,896
52241,95.5,55.5,2.8,35895,20107,15466,2270,9,1846,0,333,183
52242,92.3,0,8.6,3809,1729,1529,72,3,62,0,31,32
52245,96.4,65.2,4.6,20518,24606,21552,656,16,949,98,696,639
52246,97.9,70.2,2.7,23594,22392,16145,1588,54,3729,0,210,666
52247,69,18.4,3.3,28773,6129,6094,5,0,0,0,12,18
52248,92.8,21.5,6.2,26728,1874,1839,0,0,17,0,0,18
52249,93.9,14.2,9.2,26786,1052,1042,0,4,0,0,0,6
52251,86.1,9.5,2.7,36667,633,622,0,0,2,0,9,0
52253,92.7,29.7,4.2,38533,2961,2855,31,18,0,0,13,44
52254,89.7,12.2,0.9,28292,842,836,0,0,0,0,3,3
52255,95.3,14.1,7.7,30033,1338,1248,51,13,0,0,4,22
52257,99.1,4.9,1.4,43188,273,273,0,0,0,0,0,0
52301,90.9,13.4,1.8,27132,3904,3786,30,0,0,3,40,45
52302,96,34.9,3.9,38371,39070,36670,805,22,646,0,177,750
52305,94.5,34.3,8.8,37548,569,566,0,0,0,0,0,3
52306,93.2,20.4,1,33333,1661,1656,0,0,0,0,0,5
52307,100,59.7,0,32778,78,51,27,0,0,0,0,0
52308,85.6,4.1,15.5,31786,133,133,0,0,0,0,0,0
52309,79.6,30,10.8,37750,460,457,0,0,2,0,0,1
52310,92.8,18.8,2.4,34498,6609,6583,23,0,0,0,0,3
52312,90.1,12.3,4.5,20250,128,98,0,0,14,0,0,16
52313,83.1,9.7,16.6,18715,352,352,0,0,0,0,0,0
52314,96.8,52.4,2,21025,6401,5606,214,0,52,4,219,306
52315,98.1,21.7,2.7,38170,1208,1198,0,2,0,0,0,8
52316,90.4,15.9,2.2,31680,1637,1600,0,0,0,0,0,37
52317,96.8,48.9,0.6,41579,18435,16593,1070,0,433,0,63,276
52318,92.9,20.8,5.5,37273,802,796,5,0,0,0,1,0
52320,88.7,7.7,1.4,26630,1166,1139,0,0,7,0,0,20
52321,95.6,11,1.7,30132,523,508,6,0,4,0,0,5
52322,94.7,26.7,2.1,37148,2718,2675,10,0,20,0,0,13
52323,93.8,9.5,6.8,31064,918,907,0,0,0,0,11,0
52324,97,13.6,2.5,41347,1871,1828,15,0,0,0,0,28
52325,94.2,25.1,0.5,39643,864,857,0,4,0,0,0,3
52326,94.9,8.8,6.6,29479,473,471,2,0,0,0,0,0
52327,95.9,24,1.3,42767,3221,3179,3,0,24,0,0,15
52328,98.5,55.1,3,51867,2895,2727,73,0,69,0,4,22
52329,99.1,21.8,0.6,35625,898,896,2,0,0,0,0,0
52330,85.2,13.7,4.9,30234,841,837,0,0,0,0,0,4
52332,96.2,15.4,2.9,37471,2210,2141,15,0,0,0,0,54
52333,98.7,45.1,2.7,47134,6629,6418,43,0,47,0,65,56
52334,100,11.9,17.5,35625,176,158,0,0,3,0,0,15
52335,88.5,12.6,5,27425,644,619,0,0,0,0,2,23
52336,93.6,18.8,4.5,37365,2154,2139,0,0,0,0,5,10
52337,91.8,14.9,2.6,27414,718,710,0,1,3,0,0,4
52338,97.8,39.2,2.5,49082,3435,3243,0,4,153,0,0,35
52339,85.8,12.1,8.3,26296,4422,2998,31,1033,27,0,133,200
52340,95.7,28.6,1.5,41105,2548,2244,38,0,31,0,129,106
52341,92.5,28,1,40972,923,882,0,0,41,0,0,0
52342,86.6,14.2,5.3,30963,3342,3215,26,22,11,6,31,31
52345,90.9,21.7,2,44048,1472,1436,30,2,0,0,0,4
52346,95.7,18.7,3.7,31310,1210,1128,0,2,5,0,19,56
52347,94.1,10.5,2.8,34329,1614,1591,6,3,0,0,0,14
52348,94.6,12.5,0,34167,70,70,0,0,0,0,0,0
52349,91.8,26.5,4.1,30789,7604,7501,25,0,32,0,0,46
52351,99.6,34.2,2.3,48152,1410,1375,5,0,6,0,15,9
52352,86.6,17.4,2.3,40263,1668,1641,15,0,0,0,0,12
52353,92.5,22.1,5.7,26660,9551,9011,145,46,71,11,153,114
52354,96,10.6,0,33929,345,345,0,0,0,0,0,0
52355,93.2,9.9,3.1,26985,325,322,3,0,0,0,0,0
52356,93.5,23.4,1.3,39806,2495,2396,20,0,8,0,5,66
52358,94.7,31.5,3,35723,3638,3488,18,0,11,0,44,77
52359,87.2,26.7,3.6,19732,281,274,3,3,0,0,0,1
52361,91.5,21.8,1.1,30566,4478,4402,25,1,1,0,0,49
52362,90,17.1,3.3,32273,879,866,0,0,0,0,0,13
52401,87.5,18.3,6.7,20964,2122,1459,351,0,41,0,12,259
52402,95.2,39.6,3.4,34431,41189,35844,1817,68,1770,26,630,1034
52403,93.2,36.2,4.8,35144,22961,20000,1436,70,519,15,43,878
52404,92.4,22.1,5.9,29940,38337,32487,3265,208,530,0,502,1345
