"city","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","category","sale.dollars","sale.volume"
"Knierim",100,17.8,21.6,21875,72,72,0,0,0,0,0,0,NA,NA,NA
"Knoxville",92,15.9,6.3,26362,7236,6947,38,48,45,0,22,136,"Schnapps",32721,2458
"Knoxville",92,15.9,6.3,26362,7236,6947,38,48,45,0,22,136,"Rum",132463,9764
"Knoxville",92,15.9,6.3,26362,7236,6947,38,48,45,0,22,136,"Distilled Spirits",11202,794
"Knoxville",92,15.9,6.3,26362,7236,6947,38,48,45,0,22,136,"Whisky",301763,19600
"Knoxville",92,15.9,6.3,26362,7236,6947,38,48,45,0,22,136,"Brandy",17357,1275
"Knoxville",92,15.9,6.3,26362,7236,6947,38,48,45,0,22,136,"Gin",15323,1243
"Knoxville",92,15.9,6.3,26362,7236,6947,38,48,45,0,22,136,"Vodka",171504,16418
"Knoxville",92,15.9,6.3,26362,7236,6947,38,48,45,0,22,136,"Misc",70690,4259
"Knoxville",92,15.9,6.3,26362,7236,6947,38,48,45,0,22,136,"Amaretto",3663,401
"Knoxville",92,15.9,6.3,26362,7236,6947,38,48,45,0,22,136,"Tequila",39944,2455
"La Motte",92.3,5,10.5,30625,238,230,0,3,0,0,0,5,NA,NA,NA
"La Porte City",94.1,19.7,2.4,33125,2403,2380,0,5,9,0,0,9,"Brandy",2801,256
"La Porte City",94.1,19.7,2.4,33125,2403,2380,0,5,9,0,0,9,"Vodka",22827,2262
"La Porte City",94.1,19.7,2.4,33125,2403,2380,0,5,9,0,0,9,"Amaretto",986,84
"La Porte City",94.1,19.7,2.4,33125,2403,2380,0,5,9,0,0,9,"Gin",1556,126
"La Porte City",94.1,19.7,2.4,33125,2403,2380,0,5,9,0,0,9,"Distilled Spirits",417,20
"La Porte City",94.1,19.7,2.4,33125,2403,2380,0,5,9,0,0,9,"Tequila",4470,254
"La Porte City",94.1,19.7,2.4,33125,2403,2380,0,5,9,0,0,9,"Whisky",53238,3714
"La Porte City",94.1,19.7,2.4,33125,2403,2380,0,5,9,0,0,9,"Schnapps",10959,912
"La Porte City",94.1,19.7,2.4,33125,2403,2380,0,5,9,0,0,9,"Rum",16576,1217
"La Porte City",94.1,19.7,2.4,33125,2403,2380,0,5,9,0,0,9,"Misc",9426,482
"Lacona",89.3,12,8.7,30875,472,451,0,0,0,0,0,21,NA,NA,NA
"Ladora",89.3,4.7,2.7,22813,308,297,0,0,2,0,9,0,NA,NA,NA
"Lake City",87.6,21.2,4.8,23203,1759,1699,27,0,12,0,0,21,"Distilled Spirits",272,13
"Lake City",87.6,21.2,4.8,23203,1759,1699,27,0,12,0,0,21,"Schnapps",4505,347
"Lake City",87.6,21.2,4.8,23203,1759,1699,27,0,12,0,0,21,"Whisky",52981,4392
"Lake City",87.6,21.2,4.8,23203,1759,1699,27,0,12,0,0,21,"Rum",20528,1452
"Lake City",87.6,21.2,4.8,23203,1759,1699,27,0,12,0,0,21,"Tequila",3277,178
"Lake City",87.6,21.2,4.8,23203,1759,1699,27,0,12,0,0,21,"Vodka",19281,2218
"Lake City",87.6,21.2,4.8,23203,1759,1699,27,0,12,0,0,21,"Gin",3402,349
"Lake City",87.6,21.2,4.8,23203,1759,1699,27,0,12,0,0,21,"Misc",7639,462
"Lake City",87.6,21.2,4.8,23203,1759,1699,27,0,12,0,0,21,"Brandy",2605,239
"Lake City",87.6,21.2,4.8,23203,1759,1699,27,0,12,0,0,21,"Amaretto",617,93
"Lake Mills",90.8,22.8,5.8,30745,2027,1930,0,69,0,0,7,21,"Schnapps",6767,504
"Lake Mills",90.8,22.8,5.8,30745,2027,1930,0,69,0,0,7,21,"Whisky",37516,2621
"Lake Mills",90.8,22.8,5.8,30745,2027,1930,0,69,0,0,7,21,"Rum",18214,1272
"Lake Mills",90.8,22.8,5.8,30745,2027,1930,0,69,0,0,7,21,"Gin",1458,128
"Lake Mills",90.8,22.8,5.8,30745,2027,1930,0,69,0,0,7,21,"Misc",9959,617
"Lake Mills",90.8,22.8,5.8,30745,2027,1930,0,69,0,0,7,21,"Tequila",5887,336
"Lake Mills",90.8,22.8,5.8,30745,2027,1930,0,69,0,0,7,21,"Vodka",25122,2861
"Lake Mills",90.8,22.8,5.8,30745,2027,1930,0,69,0,0,7,21,"Brandy",5943,509
"Lake Mills",90.8,22.8,5.8,30745,2027,1930,0,69,0,0,7,21,"Amaretto",395,41
"Lake Mills",90.8,22.8,5.8,30745,2027,1930,0,69,0,0,7,21,"Distilled Spirits",369,18
"Lake Panorama",100,43.3,1.4,37607,1097,1089,0,8,0,0,0,0,NA,NA,NA
"Lake Park",94.6,18.8,6.5,30260,1171,1158,0,0,2,0,1,10,"Brandy",449,42
"Lake Park",94.6,18.8,6.5,30260,1171,1158,0,0,2,0,1,10,"Whisky",13013,1080
"Lake Park",94.6,18.8,6.5,30260,1171,1158,0,0,2,0,1,10,"Distilled Spirits",124,5
"Lake Park",94.6,18.8,6.5,30260,1171,1158,0,0,2,0,1,10,"Schnapps",767,60
"Lake Park",94.6,18.8,6.5,30260,1171,1158,0,0,2,0,1,10,"Amaretto",23,4
"Lake Park",94.6,18.8,6.5,30260,1171,1158,0,0,2,0,1,10,"Misc",2806,142
"Lake Park",94.6,18.8,6.5,30260,1171,1158,0,0,2,0,1,10,"Tequila",792,63
"Lake Park",94.6,18.8,6.5,30260,1171,1158,0,0,2,0,1,10,"Gin",367,47
"Lake Park",94.6,18.8,6.5,30260,1171,1158,0,0,2,0,1,10,"Vodka",6635,808
"Lake Park",94.6,18.8,6.5,30260,1171,1158,0,0,2,0,1,10,"Rum",5660,377
"Lake View",90.7,19.9,6.7,31776,1002,990,8,0,0,0,4,0,"Misc",11550,684
"Lake View",90.7,19.9,6.7,31776,1002,990,8,0,0,0,4,0,"Tequila",4790,272
"Lake View",90.7,19.9,6.7,31776,1002,990,8,0,0,0,4,0,"Rum",38873,2592
"Lake View",90.7,19.9,6.7,31776,1002,990,8,0,0,0,4,0,"Whisky",79046,6098
"Lake View",90.7,19.9,6.7,31776,1002,990,8,0,0,0,4,0,"Gin",3022,222
"Lake View",90.7,19.9,6.7,31776,1002,990,8,0,0,0,4,0,"Distilled Spirits",389,22
"Lake View",90.7,19.9,6.7,31776,1002,990,8,0,0,0,4,0,"Vodka",33671,3369
"Lake View",90.7,19.9,6.7,31776,1002,990,8,0,0,0,4,0,"Schnapps",9756,717
"Lake View",90.7,19.9,6.7,31776,1002,990,8,0,0,0,4,0,"Brandy",2287,178
"Lake View",90.7,19.9,6.7,31776,1002,990,8,0,0,0,4,0,"Amaretto",778,100
"Lakeside",77.3,23.1,2.5,30580,674,567,14,0,17,0,73,3,NA,NA,NA
"Lakota",86.8,10.8,3.9,25278,211,204,0,0,0,0,4,3,NA,NA,NA
"Lambs Grove",95.8,25,1.9,41250,200,200,0,0,0,0,0,0,NA,NA,NA
"Lamoni",87.8,32.9,6,9158,2616,2309,162,34,6,14,20,71,"Schnapps",2753,219
"Lamoni",87.8,32.9,6,9158,2616,2309,162,34,6,14,20,71,"Rum",12618,781
"Lamoni",87.8,32.9,6,9158,2616,2309,162,34,6,14,20,71,"Distilled Spirits",113,4
"Lamoni",87.8,32.9,6,9158,2616,2309,162,34,6,14,20,71,"Misc",4124,165
"Lamoni",87.8,32.9,6,9158,2616,2309,162,34,6,14,20,71,"Tequila",2640,99
"Lamoni",87.8,32.9,6,9158,2616,2309,162,34,6,14,20,71,"Brandy",2593,131
"Lamoni",87.8,32.9,6,9158,2616,2309,162,34,6,14,20,71,"Vodka",22221,2041
"Lamoni",87.8,32.9,6,9158,2616,2309,162,34,6,14,20,71,"Whisky",22602,1318
"Lamoni",87.8,32.9,6,9158,2616,2309,162,34,6,14,20,71,"Amaretto",62,5
"Lamoni",87.8,32.9,6,9158,2616,2309,162,34,6,14,20,71,"Gin",1465,105
"Lamont",89.3,5.4,8,25278,430,429,0,0,0,0,1,0,NA,NA,NA
"Lanesboro",87.9,9.9,1.3,28456,139,139,0,0,0,0,0,0,NA,NA,NA
"Lansing",96.8,15.7,6.7,27574,833,816,2,3,8,0,0,4,"Schnapps",7365,654
"Lansing",96.8,15.7,6.7,27574,833,816,2,3,8,0,0,4,"Tequila",2846,192
"Lansing",96.8,15.7,6.7,27574,833,816,2,3,8,0,0,4,"Amaretto",317,32
"Lansing",96.8,15.7,6.7,27574,833,816,2,3,8,0,0,4,"Gin",1744,142
"Lansing",96.8,15.7,6.7,27574,833,816,2,3,8,0,0,4,"Distilled Spirits",288,14
"Lansing",96.8,15.7,6.7,27574,833,816,2,3,8,0,0,4,"Rum",16244,1310
"Lansing",96.8,15.7,6.7,27574,833,816,2,3,8,0,0,4,"Brandy",5765,521
"Lansing",96.8,15.7,6.7,27574,833,816,2,3,8,0,0,4,"Misc",7584,528
"Lansing",96.8,15.7,6.7,27574,833,816,2,3,8,0,0,4,"Whisky",37996,3106
"Lansing",96.8,15.7,6.7,27574,833,816,2,3,8,0,0,4,"Vodka",24780,2606
"Larchwood",90.8,23.4,5.2,32366,865,845,0,15,2,0,0,3,"Misc",11291,549
"Larchwood",90.8,23.4,5.2,32366,865,845,0,15,2,0,0,3,"Gin",3833,244
"Larchwood",90.8,23.4,5.2,32366,865,845,0,15,2,0,0,3,"Brandy",6985,491
"Larchwood",90.8,23.4,5.2,32366,865,845,0,15,2,0,0,3,"Rum",44540,2845
"Larchwood",90.8,23.4,5.2,32366,865,845,0,15,2,0,0,3,"Vodka",43351,3511
"Larchwood",90.8,23.4,5.2,32366,865,845,0,15,2,0,0,3,"Schnapps",11214,664
"Larchwood",90.8,23.4,5.2,32366,865,845,0,15,2,0,0,3,"Tequila",8285,312
"Larchwood",90.8,23.4,5.2,32366,865,845,0,15,2,0,0,3,"Whisky",84945,5378
"Larchwood",90.8,23.4,5.2,32366,865,845,0,15,2,0,0,3,"Distilled Spirits",452,21
"Larchwood",90.8,23.4,5.2,32366,865,845,0,15,2,0,0,3,"Amaretto",1109,116
"Larrabee",90.7,5.3,12.4,22500,202,174,0,0,0,0,0,28,NA,NA,NA
"Latimer",81.3,13.1,5.8,26146,499,431,29,3,14,0,17,5,"Gin",156,7
"Latimer",81.3,13.1,5.8,26146,499,431,29,3,14,0,17,5,"Rum",1097,83
"Latimer",81.3,13.1,5.8,26146,499,431,29,3,14,0,17,5,"Misc",380,14
"Latimer",81.3,13.1,5.8,26146,499,431,29,3,14,0,17,5,"Schnapps",394,22
"Latimer",81.3,13.1,5.8,26146,499,431,29,3,14,0,17,5,"Distilled Spirits",18,1
"Latimer",81.3,13.1,5.8,26146,499,431,29,3,14,0,17,5,"Amaretto",17,3
"Latimer",81.3,13.1,5.8,26146,499,431,29,3,14,0,17,5,"Brandy",494,44
"Latimer",81.3,13.1,5.8,26146,499,431,29,3,14,0,17,5,"Tequila",175,8
"Latimer",81.3,13.1,5.8,26146,499,431,29,3,14,0,17,5,"Vodka",1769,192
"Latimer",81.3,13.1,5.8,26146,499,431,29,3,14,0,17,5,"Whisky",3785,301
"Laurel",87.8,13.2,11.2,24063,358,313,1,0,0,0,5,39,NA,NA,NA
"Laurens",92,15.3,2.6,31726,1272,1155,54,6,16,0,19,22,"Misc",7106,484
"Laurens",92,15.3,2.6,31726,1272,1155,54,6,16,0,19,22,"Rum",20100,1474
"Laurens",92,15.3,2.6,31726,1272,1155,54,6,16,0,19,22,"Gin",2000,218
"Laurens",92,15.3,2.6,31726,1272,1155,54,6,16,0,19,22,"Amaretto",355,61
"Laurens",92,15.3,2.6,31726,1272,1155,54,6,16,0,19,22,"Schnapps",5900,544
"Laurens",92,15.3,2.6,31726,1272,1155,54,6,16,0,19,22,"Distilled Spirits",521,24
"Laurens",92,15.3,2.6,31726,1272,1155,54,6,16,0,19,22,"Vodka",28058,3616
"Laurens",92,15.3,2.6,31726,1272,1155,54,6,16,0,19,22,"Whisky",46205,3694
"Laurens",92,15.3,2.6,31726,1272,1155,54,6,16,0,19,22,"Brandy",2391,194
"Laurens",92,15.3,2.6,31726,1272,1155,54,6,16,0,19,22,"Tequila",3585,224
"Lawler",89.8,15.5,2.8,27328,324,324,0,0,0,0,0,0,"Brandy",1233,98
"Lawler",89.8,15.5,2.8,27328,324,324,0,0,0,0,0,0,"Vodka",10360,847
"Lawler",89.8,15.5,2.8,27328,324,324,0,0,0,0,0,0,"Amaretto",325,32
"Lawler",89.8,15.5,2.8,27328,324,324,0,0,0,0,0,0,"Schnapps",7115,516
"Lawler",89.8,15.5,2.8,27328,324,324,0,0,0,0,0,0,"Whisky",24645,1711
"Lawler",89.8,15.5,2.8,27328,324,324,0,0,0,0,0,0,"Misc",6880,303
"Lawler",89.8,15.5,2.8,27328,324,324,0,0,0,0,0,0,"Gin",666,51
"Lawler",89.8,15.5,2.8,27328,324,324,0,0,0,0,0,0,"Tequila",2613,93
"Lawler",89.8,15.5,2.8,27328,324,324,0,0,0,0,0,0,"Rum",15259,906
"Lawton",95.2,30.6,2,35294,900,878,5,0,0,0,10,7,NA,NA,NA
"Le Claire",97.9,41.4,6.5,45493,3931,3653,93,7,0,0,23,155,"Vodka",137181,8500
"Le Claire",97.9,41.4,6.5,45493,3931,3653,93,7,0,0,23,155,"Schnapps",21938,1105
"Le Claire",97.9,41.4,6.5,45493,3931,3653,93,7,0,0,23,155,"Misc",55663,2618
