"zipcode","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","category","sale.dollars","sale.volume"
50020,93.5,14.3,5.4,28375,1198,1195,0,0,0,0,3,0,"Whisky",32308,2371
50020,93.5,14.3,5.4,28375,1198,1195,0,0,0,0,3,0,"Tequila",2493,193
50020,93.5,14.3,5.4,28375,1198,1195,0,0,0,0,3,0,"Distilled Spirits",513,23
50020,93.5,14.3,5.4,28375,1198,1195,0,0,0,0,3,0,"Misc",5631,391
50020,93.5,14.3,5.4,28375,1198,1195,0,0,0,0,3,0,"Schnapps",2573,232
50020,93.5,14.3,5.4,28375,1198,1195,0,0,0,0,3,0,"Brandy",3592,327
50020,93.5,14.3,5.4,28375,1198,1195,0,0,0,0,3,0,"Vodka",13878,1599
50020,93.5,14.3,5.4,28375,1198,1195,0,0,0,0,3,0,"Gin",1020,72
50020,93.5,14.3,5.4,28375,1198,1195,0,0,0,0,3,0,"Rum",6645,474
50020,93.5,14.3,5.4,28375,1198,1195,0,0,0,0,3,0,"Amaretto",373,35
50021,97.8,47.1,3.2,40214,24993,23621,272,0,710,0,108,282,"Amaretto",15868,1317
50021,97.8,47.1,3.2,40214,24993,23621,272,0,710,0,108,282,"Schnapps",80686,5565
50021,97.8,47.1,3.2,40214,24993,23621,272,0,710,0,108,282,"Gin",92151,6946
50021,97.8,47.1,3.2,40214,24993,23621,272,0,710,0,108,282,"Whisky",1108982,62969
50021,97.8,47.1,3.2,40214,24993,23621,272,0,710,0,108,282,"Vodka",840631,71929
50021,97.8,47.1,3.2,40214,24993,23621,272,0,710,0,108,282,"Rum",444664,31604
50021,97.8,47.1,3.2,40214,24993,23621,272,0,710,0,108,282,"Tequila",210297,15818
50021,97.8,47.1,3.2,40214,24993,23621,272,0,710,0,108,282,"Distilled Spirits",20415,1583
50021,97.8,47.1,3.2,40214,24993,23621,272,0,710,0,108,282,"Misc",293936,17265
50021,97.8,47.1,3.2,40214,24993,23621,272,0,710,0,108,282,"Brandy",60927,3706
50022,89.1,21.6,2.2,27577,8148,7942,35,46,30,23,15,57,"Amaretto",2578,262
50022,89.1,21.6,2.2,27577,8148,7942,35,46,30,23,15,57,"Schnapps",36294,2876
50022,89.1,21.6,2.2,27577,8148,7942,35,46,30,23,15,57,"Gin",21140,1892
50022,89.1,21.6,2.2,27577,8148,7942,35,46,30,23,15,57,"Vodka",186212,18284
50022,89.1,21.6,2.2,27577,8148,7942,35,46,30,23,15,57,"Misc",101436,5471
50022,89.1,21.6,2.2,27577,8148,7942,35,46,30,23,15,57,"Distilled Spirits",6561,310
50022,89.1,21.6,2.2,27577,8148,7942,35,46,30,23,15,57,"Brandy",12981,1043
50022,89.1,21.6,2.2,27577,8148,7942,35,46,30,23,15,57,"Tequila",53687,3635
50022,89.1,21.6,2.2,27577,8148,7942,35,46,30,23,15,57,"Rum",137736,10158
50022,89.1,21.6,2.2,27577,8148,7942,35,46,30,23,15,57,"Whisky",454152,30570
50023,97.4,44.4,3.9,40065,33001,31196,386,0,451,0,12,956,"Whisky",535147,27417
50023,97.4,44.4,3.9,40065,33001,31196,386,0,451,0,12,956,"Schnapps",24856,1761
50023,97.4,44.4,3.9,40065,33001,31196,386,0,451,0,12,956,"Amaretto",5348,400
50023,97.4,44.4,3.9,40065,33001,31196,386,0,451,0,12,956,"Misc",121150,6741
50023,97.4,44.4,3.9,40065,33001,31196,386,0,451,0,12,956,"Distilled Spirits",8075,368
50023,97.4,44.4,3.9,40065,33001,31196,386,0,451,0,12,956,"Vodka",393186,30911
50023,97.4,44.4,3.9,40065,33001,31196,386,0,451,0,12,956,"Rum",201413,13812
50023,97.4,44.4,3.9,40065,33001,31196,386,0,451,0,12,956,"Gin",37474,2542
50023,97.4,44.4,3.9,40065,33001,31196,386,0,451,0,12,956,"Tequila",78935,5063
50023,97.4,44.4,3.9,40065,33001,31196,386,0,451,0,12,956,"Brandy",20192,1215
50025,89.1,13.4,2.2,27099,3107,2990,11,34,11,0,0,61,"Brandy",3568,335
50025,89.1,13.4,2.2,27099,3107,2990,11,34,11,0,0,61,"Whisky",57895,4785
50025,89.1,13.4,2.2,27099,3107,2990,11,34,11,0,0,61,"Gin",1893,153
50025,89.1,13.4,2.2,27099,3107,2990,11,34,11,0,0,61,"Amaretto",1463,194
50025,89.1,13.4,2.2,27099,3107,2990,11,34,11,0,0,61,"Misc",8091,545
50025,89.1,13.4,2.2,27099,3107,2990,11,34,11,0,0,61,"Distilled Spirits",356,18
50025,89.1,13.4,2.2,27099,3107,2990,11,34,11,0,0,61,"Tequila",2834,211
50025,89.1,13.4,2.2,27099,3107,2990,11,34,11,0,0,61,"Schnapps",5787,542
50025,89.1,13.4,2.2,27099,3107,2990,11,34,11,0,0,61,"Rum",23208,1761
50025,89.1,13.4,2.2,27099,3107,2990,11,34,11,0,0,61,"Vodka",23865,3075
50026,95.2,20.3,5.3,35662,612,577,0,3,3,0,0,29,NA,NA,NA
50027,82.7,8.8,14.9,25536,312,285,7,2,0,0,0,18,NA,NA,NA
50028,93,19.3,5.1,37353,1499,1487,0,12,0,0,0,0,"Misc",2531,177
50028,93,19.3,5.1,37353,1499,1487,0,12,0,0,0,0,"Rum",3627,289
50028,93,19.3,5.1,37353,1499,1487,0,12,0,0,0,0,"Vodka",6234,613
50028,93,19.3,5.1,37353,1499,1487,0,12,0,0,0,0,"Distilled Spirits",113,5
50028,93,19.3,5.1,37353,1499,1487,0,12,0,0,0,0,"Schnapps",1171,108
50028,93,19.3,5.1,37353,1499,1487,0,12,0,0,0,0,"Gin",160,9
50028,93,19.3,5.1,37353,1499,1487,0,12,0,0,0,0,"Amaretto",43,5
50028,93,19.3,5.1,37353,1499,1487,0,12,0,0,0,0,"Whisky",15348,1157
50028,93,19.3,5.1,37353,1499,1487,0,12,0,0,0,0,"Tequila",1048,78
50028,93,19.3,5.1,37353,1499,1487,0,12,0,0,0,0,"Brandy",1143,95
50029,90.6,16.1,4.3,25268,651,647,2,1,0,0,0,1,NA,NA,NA
50032,86.5,12.5,53.4,35851,104,104,0,0,0,0,0,0,NA,NA,NA
50033,90.5,0,3,28958,41,40,0,1,0,0,0,0,"Whisky",16611,1141
50033,90.5,0,3,28958,41,40,0,1,0,0,0,0,"Rum",5410,364
50033,90.5,0,3,28958,41,40,0,1,0,0,0,0,"Brandy",204,12
50033,90.5,0,3,28958,41,40,0,1,0,0,0,0,"Gin",500,33
50033,90.5,0,3,28958,41,40,0,1,0,0,0,0,"Tequila",577,22
50033,90.5,0,3,28958,41,40,0,1,0,0,0,0,"Misc",2629,107
50033,90.5,0,3,28958,41,40,0,1,0,0,0,0,"Vodka",9622,868
50033,90.5,0,3,28958,41,40,0,1,0,0,0,0,"Schnapps",710,46
50034,98.1,14.7,3.8,25179,365,365,0,0,0,0,0,0,NA,NA,NA
50035,94.3,35.2,1.3,43527,6562,6422,0,0,82,0,0,58,"Misc",4296,300
50035,94.3,35.2,1.3,43527,6562,6422,0,0,82,0,0,58,"Gin",606,45
50035,94.3,35.2,1.3,43527,6562,6422,0,0,82,0,0,58,"Vodka",21081,1943
50035,94.3,35.2,1.3,43527,6562,6422,0,0,82,0,0,58,"Tequila",2395,128
50035,94.3,35.2,1.3,43527,6562,6422,0,0,82,0,0,58,"Brandy",3315,155
50035,94.3,35.2,1.3,43527,6562,6422,0,0,82,0,0,58,"Rum",12295,792
